,id,created_at,text,u_id,u_name,u_created_at,u_description,u_followers_count,type,c_country,u_screen_name,u_friends_count,location.lon,location.lat,geometry,index_right,name,base_year,name_eng,code
11824899,713582489067982848,1458966297000.0,"드디어 왔다 #연남동 #핫플레이스 #툭툭누들타이

맛있을려나. 기대됨. 😚 @ 툭툭누들타이 https://t.co/IlWsDJtTYV",203145425,Kino Shin,1287161101000.0,"글쎄요, 나도 내가 궁금한걸요?",110,llp,KOR,KinoShin85,150,126.92669392,37.56213313,POINT (126.92669392 37.56213313),214.0,연남동,2018,Yeonnam-dong,1114071
11825059,713602374909181952,1458971038000.0,#툭툭누들타이 #tuktuknoodlethai #연남동 #핫플레이스 #먹스타그램 #foodporn #foodstagram #thaifood @ 툭툭누들타이 https://t.co/ll6dS755pj,203145425,Kino Shin,1287161101000.0,"글쎄요, 나도 내가 궁금한걸요?",110,llp,KOR,KinoShin85,150,126.92669392,37.56213313,POINT (126.92669392 37.56213313),214.0,연남동,2018,Yeonnam-dong,1114071
11825627,713617047331188738,1458974537000.0,"이건 이름이 뭐더라..

#툭툭누들타이 #tuktuknoodlethai #연남동 #핫플레이스 #먹스타그램 #foodporn #foodstagram #thaifood @… https://t.co/oIcVqsEK2e",203145425,Kino Shin,1287161101000.0,"글쎄요, 나도 내가 궁금한걸요?",110,llp,KOR,KinoShin85,150,126.92669392,37.56213313,POINT (126.92669392 37.56213313),214.0,연남동,2018,Yeonnam-dong,1114071
11827143,706361033212895237,1457244568000.0,#나야카레 #홍대맛집 #일본카레 #키마카레 #수제고로케 오래간만이다 키마커리!&gt;_&lt; @ 나야카레/naya Curry https://t.co/X09HNn1nrf,93795765,tierro,1259644633000.0,Start with all new XXX,178,llp,KOR,tierrasea,270,126.93080489,37.55567789,POINT (126.93080489 37.55567789),210.0,서교동,2018,Seogyo-dong,1114066
11829062,714466778823467012,1459177128000.0,"D-16

#먹스타그램 #감자탕#맛있다#떠나기전에#먹어야하는#홍대#홍대맛집 @ 홍대 청기와뼈해장국 https://t.co/u85h5tgeHb",146101774,Renレン렌♛,1274371567000.0,speaks English Chinese Korean Japanese. 뷮& Babyz 탑엔용국 오빠♡,264,llp,KOR,renluvtop,407,126.92253417,37.55111306,POINT (126.92253417 37.55111306),210.0,서교동,2018,Seogyo-dong,1114066
11830450,708269361203646464,1457699549000.0,"닭무침 !!!
.
.
#태국 #방콕 #방콕여행 #태국여행 #방콕가이드 #방콕매거진 #플랜타이 #방콕에서놀자 #방콕맛집 #방콕클럽 #방콕일상 #맞팔 #맛집 #먹방 #먹스타그램… https://t.co/6JlcVlhGNa",183521362,이대룡 / 방콕 ing,1282888030000.0,"MC & 리포터 & Event MC / 여행작가, 여행블로거, 세계일주, 배낭여행 / Facebook & Instagram : mcryong",427,llp,KOR,mcryong,1151,126.92341819,37.56032804,POINT (126.92341819 37.56032804),210.0,서교동,2018,Seogyo-dong,1114066
11833275,707404726812409856,1457493404000.0,"얼마전 한국 갔을때 홍대 #뉴욕아파트먼트 #맛집 에서 먹은 #할라피뇨 #치킨 🍖🍗
맛있었다는&gt;_&lt;
#홍대 #먹스타그램 #꼬꼬 #チキン #ホンデ #グルメ @ 뉴욕 아파트먼트 https://t.co/Z2TQPztW5J",211053585,Reina (礼宗),1288674055000.0,KIX。空港人。日韓。,4178,llp,KOR,RenisPoison,146,126.91977295,37.54981843,POINT (126.91977295 37.54981843),210.0,서교동,2018,Seogyo-dong,1114066
11836155,709958566032117760,1458102287000.0,#체인드마인드상담센터 #맛집 @ 홍대 https://t.co/D50DYVzfxi,135306140,joo hyun ryu,1271805075000.0,changemind 상담센터 대표,72,llp,KOR,luzysal76,127,126.92535916,37.55837483,POINT (126.92535916 37.55837483),210.0,서교동,2018,Seogyo-dong,1114066
11836665,709587665218359296,1458013857000.0,#먹 #먹방 #먹짤 #먹방샷 #먹스타그램 #맛집 #맛 #맛스타그램 #드롭탑 #케이크 #디저트 #오레오 #홍대 #오레오치즈케이크 #cake #food #foodie… https://t.co/qPlbyhlhVr,300862933,Songpyun,1305726658000.0,"illustration,comic,art",210,llp,KOR,songpyun,395,126.9208646,37.54912406,POINT (126.9208646 37.54912406),210.0,서교동,2018,Seogyo-dong,1114066
11837024,712635182742896640,1458740442000.0,"보글보글
조개탕

물배채우기위한 안주 &gt;_&lt;

그치만 놀기엔 너무 힘들어서 어서 집으로

#먹스타그램 #맛스타그램 #foodstagram #instafood #연남동맛집… https://t.co/ISUikNZq9P",93805168,Mandy MJ Kim,1259649120000.0,,1462,llp,KOR,MandyMJK,1460,126.92693936,37.56261344,POINT (126.92693936 37.56261344),214.0,연남동,2018,Yeonnam-dong,1114071
11838848,708269200503136257,1457699511000.0,"닭도리탕 !!!
.
.
#태국 #방콕 #방콕여행 #태국여행 #방콕가이드 #방콕매거진 #플랜타이 #방콕에서놀자 #방콕맛집 #방콕클럽 #방콕일상 #맞팔 #맛집 #먹방… https://t.co/64z4G6zmBN",183521362,이대룡 / 방콕 ing,1282888030000.0,"MC & 리포터 & Event MC / 여행작가, 여행블로거, 세계일주, 배낭여행 / Facebook & Instagram : mcryong",427,llp,KOR,mcryong,1151,126.92341819,37.56032804,POINT (126.92341819 37.56032804),210.0,서교동,2018,Seogyo-dong,1114066
11839711,707178650265849856,1457439503000.0,#대리만족 #매운치즈족발 #おいしかった #美味しかった #食べ物 #홍대맛집 #먹방 #맛스타그램 #먹스타그램 #먹스타그램꿈나무 #먹스타그램촵촵 #맛스타그램촵촵 #먹스타 #맛스타… https://t.co/SKAVvA1dv9,150950950,ネネ,1275461335000.0,ネネノノのネネでございます♪フォロバは仲良くなったら、お返しします/絡みのない方は失礼ですが、無言でフォロー外します/☆★ノノの垢→@moatus★☆,554,llp,KOR,shining33,184,126.9217122,37.55305404,POINT (126.9217122 37.55305404),210.0,서교동,2018,Seogyo-dong,1114066
11840786,707405226790277120,1457493523000.0,"얼마전 한국 갔을때 홍대 #뉴욕아파트먼트 #맛집 에서 먹은 #수제버거 🍔
패티가 스테이크 같았다는! 포테토는 #스파이시 맛으로! 
#홍대 #먹스타그램 #햄버거 #포테토… https://t.co/fYT1Xn3UT1",211053585,Reina (礼宗),1288674055000.0,KIX。空港人。日韓。,4178,llp,KOR,RenisPoison,146,126.91977295,37.54981843,POINT (126.91977295 37.54981843),210.0,서교동,2018,Seogyo-dong,1114066
11841423,709745941235023872,1458051593000.0,"산낙지!!!!
#한식 #한식맛집 #마포나룻집 #홍대 #홍대맛집 #산낙지 #두부김치 #보쌈 #남자친구랑 #데이트 #데이트스타그램 #먹방스타그램🍴 #먹스타그램 #맛스타그램… https://t.co/JRlAirG10e",190015411,AddictionToFashion,1284326382000.0,"French student & part-time Blogger, ELF. Love music, fashion, London, Korea, a good cup of tea, and her sister @Sun_nim  http://kstyleatf.blogspot.com",410,llp,KOR,AngieATFblog,672,126.9216176,37.55186638,POINT (126.9216176 37.55186638),210.0,서교동,2018,Seogyo-dong,1114066
11845757,714411124460900352,1459163859000.0,#맛집 #쏨땀 #맛있는 #힐링 #체인드마인드상담센터 #소이연남 @ 홍대어딘가 https://t.co/TKXuOMBZ6W,135306140,joo hyun ryu,1271805075000.0,changemind 상담센터 대표,73,llp,KOR,luzysal76,127,126.92318704,37.55559611,POINT (126.92318704 37.55559611),210.0,서교동,2018,Seogyo-dong,1114066
11850762,722661240154300416,1461130840000.0,"지인분께서 간식으로 사다두셨습니다.

#튀김소보로 #소보로빵 #대전맛집 #성심당 #도넛 #앙금빵 @ 메리브라운 https://t.co/0bYZ8jE3m2",607827267,배상식(실시간 맞팔),1339640867000.0,"보통 남편 
modern natural life style",3033,llp,KOR,iambss77,3212,126.9227595,37.56023492,POINT (126.9227595 37.56023492),210.0,서교동,2018,Seogyo-dong,1114066
11852795,718691108780449792,1460184287000.0,"today's fish 우럭 스테이크 맛있네~ 해산물 쬬아♡
#바다스테이크 #연남동맛집 @ 연남동 바다스테이크 https://t.co/849wsBObVL",2698463462,박지은,1406905232000.0,꿈꾸는 guitarist..,41,llp,KOR,artist37,200,126.92457549999999,37.5628314,POINT (126.9245755 37.5628314),214.0,연남동,2018,Yeonnam-dong,1114071
